Disease,Symptoms,Description,Precautions
Hepatitis E,"Fever, nausea, vomiting, yellow eyes, weakness","Fever, nausea, vomiting, yellow eyes, weakness. A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.","There is no drug that has established safety and effectiveness for hepatitis E, and there have been no large randomized clinical trials of antiviral drugs. Reviews of existing small studies suggest that ribavirin can be considered effective in immunocompromised people who have developed chronic infection. Chronic HEV infection is associated with immunosuppressive therapies, and when that happens in individuals with solid-organ transplantation, reducing immunosuppressive medications can result in clearance of HEV in one third of patients."
Hepatitis Fulminan,"Nausea, vomiting, jaundice, stomach pain, fatigue","Nausea, vomiting, jaundice, stomach pain, fatigue. Kerusakan hati mendadak akibat infeksi virus atau obat toksik.",Consult a healthcare professional for accurate precautions.
Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting","Hepatitis is inflammation of the liver tissue. Some people or animals with hepatitis have no symptoms, whereas others develop yellow discoloration of the skin and whites of the eyes (jaundice), poor appetite, vomiting, tiredness, abdominal pain, and diarrhea. Hepatitis is acute if it resolves within six months, and chronic if it lasts longer than six months.",Consult a healthcare professional for accurate precautions.
Hereditary Hemochromatosis,"Fatigue, joint pain, liver problems","Fatigue, joint pain, liver problems. Penyerapan zat besi berlebih akibat genetik.",Consult a healthcare professional for accurate precautions.
Hernia,"Lumps in the stomach/groin, pain when lifting weights","Lumps in the stomach/groin, pain when lifting weights. Keluar jaringan melalui dinding otot lemah.",Consult a healthcare professional for accurate precautions.
Hernia Nukleus Pulposus (HNP),"Back pain, tingling, leg weakness","Back pain, tingling, leg weakness. Cidera bantalan tulang belakang menekan saraf.",Consult a healthcare professional for accurate precautions.
Herpangina,"Sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite","Herpangina, also called mouth blisters, is a painful mouth infection caused by coxsackieviruses. Usually, herpangina is produced by one particular strain of coxsackie virus A (and the term ""herpangina virus"" refers to coxsackievirus A), but it can also be caused by coxsackievirus B or echoviruses. Most cases of herpangina occur in the summer, affecting mostly children.","Treatment is usually supportive only, as the disease is self-limiting and usually runs its course in less than a week. In children with herpangina, using peginterferon α-2b spray may lead to quicker recovery. Silver ion spray and Albinterferon may also be helpful."
Hiatal Hernia,"Heartburn, chest pain, difficulty swallowing",A hiatal hernia or hiatus hernia is a type of hernia in which abdominal organs (typically the stomach) slip through the diaphragm into the middle compartment of the chest. This may result in gastroesophageal reflux disease (GERD) or laryngopharyngeal reflux (LPR) with symptoms such as a taste of acid in the back of the mouth or heartburn. Other symptoms may include trouble swallowing and chest pains.,"In the great majority of cases, people experience no significant discomfort, and no treatment is required. People with symptoms should elevate the head of their beds and avoid lying down directly after meals. If the condition has been brought on by stress, stress reduction techniques may be prescribed, or if overweight, weight loss may be indicated."
Hidrosefalus,"Head enlargement in babies, nausea, vomiting, seizures","Head enlargement in babies, nausea, vomiting, seizures. Akumulasi cairan cerebrospinal di otak.",Consult a healthcare professional for accurate precautions.
Hiperlipidemia,"High cholesterol, xanthelasma on the eyelids","High cholesterol, xanthelasma on the eyelids. Kadar lemak darah tinggi memicu aterosklerosis.",Consult a healthcare professional for accurate precautions.
Hipertensi,"Headaches, dizziness, nosebleeds, high blood pressure","Headaches, dizziness, nosebleeds, high blood pressure. Tekanan darah kronis meningkat akibat gaya hidup atau faktor genetik.",Consult a healthcare professional for accurate precautions.
